Sample Name,Random Num,Sample_extraction_number,Sample_ID
Y4_aNSC-A,0.102188112,83,XZ_83
Y3_aNSC-A,0.298550669,84,XZ_84
Y4_qNSC-Q,0.523144248,85,XZ_85
PBS-2,0.351612646,86,XZ_86_PBS
O6_aNSC-A,0.97161525,87,XZ_87
Y2_qNSC-Q,0.246464762,88,XZ_88
Y5_qNSC-Q,0.360717887,89,XZ_89
Y5_aNSC-A,0.510623093,90,XZ_90
O3_qNSC-Q,0.811878099,91,XZ_91
O1_qNSC-Q,0.006252594,92,XZ_92
Y2-2_aNSC-A,0.554838103,93,XZ_93
O6_qNSC-Q,0.779790516,94,XZ_94
O3_aNSC-A,0.579010665,95,XZ_95
PBS-1,0.853114738,96,XZ_96_PBS
O8_aNSC-A,0.38638,97,XZ_97
O5_qNSC-Q,0.62631184,98,XZ_98
O8_qNSC-Q,0.538583726,99,XZ_99
Y3_qNSC-Q,0.713586586,100,XZ_100
O1_aNSC-A,0.866409094,101,XZ_101
Y2_aNSC-A,0.650915448,102,XZ_102
Y2-2_qNSC-Q,0.635825349,103,XZ_103
O5_aNSC-A,0.160160551,104,XZ_104