"","Image","m/z","IntStd(max)"
"1338","O1_180420_1",151.039289,1358.229614
"1362","O1_180420_8",151.039289,1776.762207
"1298","O1_180420_2",151.039289,1185.895386
"1229","O1_180420_9",151.039289,1513.992798
"1311","O1_180420_6",151.039289,2041.54895
"1185","O1_180420_7",151.039289,1998.598022
"1197","O1_180420_3",151.039289,1985.884033
"1273","O1_180420_5",151.039289,2496.594238
"1274","O1_180420_4",151.039289,2458.12915
"1133","O1_180420_10",151.039289,1967.452637
"1354","O1_180622_1",151.039289,1883.951294
"1285","O1_180622_2",151.039289,4194.441895
"1363","O1_180622_3",151.039289,2911.041992
"1385","O1_180622_4",151.039289,3275.866943
"1213","O1_180622_5",151.039289,2494.861084
"1317","O1_180622_6",151.039289,2225.916504
"1533","O1_180622_7",151.039289,2510.003906
"1276","O1_180622_8",151.039289,2211.758789
"1339","O1_180622_9",151.039289,2447.516602
"1184","O1_180622_10",151.039289,3211.925537
"960","O2_180420_1",151.039289,2074.629639
"1261","O2_180420_2",151.039289,2614.191895
"1058","O2_180420_3",151.039289,3387.018311
"1315","O2_180420_4",151.039289,2125.749512
"1455","O2_180420_5",151.039289,2878.871582
"1373","O2_180420_6",151.039289,3424.408447
"1360","O2_180420_7",151.039289,3078.532471
"1186","O2_180420_8",151.039289,2547.625732
"1407","O2_180420_9",151.039289,2739.44873
"1431","O2_180420_10",151.039289,1613.810547
"1464","O3_180622_1",151.038939,1467.257446
"1132","O3_180622_2",151.039289,1372.472778
"1203","O3_180622_3",151.039289,1191.403687
"1230","O3_180622_4",151.039289,2145.559814
"1349","O3_180622_5",151.039289,2130.175293
"1520","O3_180622_6",151.039289,1867.865479
"1300","O3_180622_7",151.039289,2902.446533
"13631","O3_180622_9",151.039289,1739.545288
"13491","O3_180622_8",151.039289,2314.217285
"1116","O3_180622_10",151.039289,1994.406738
"1384","O4_180627_1",151.039289,2825.835938
"1299","O4_180627_2",151.039289,2446.37207
"1330","O4_180627_3",151.039289,2036.105957
"12851","O4_180627_4",151.039289,3732.897217
"1402","O4_180627_5",151.039289,3165.045898
"1387","O4_180627_6",151.039289,4004.818359
"1256","O4_180627_7",151.039289,3343.008301
"1421","O4_180627_8",151.039289,3265.551514
"1269","O4_180627_9",151.039289,2920.129395
"1275","O4_180627_10",151.039289,3872.046143
"1493","Y1_180420_4",151.039289,2526.447266
"1530","Y1_180420_10",151.039289,2172.723877
"1281","Y1_180420_1",151.039289,1852.640625
"1346","Y1_180420_9",151.039289,2205.414795
"1293","Y1_180420_8",151.039289,2375.828857
"1357","Y1_180420_2",151.039289,1699.935059
"11841","Y1_180420_7",151.039289,2576.854492
"14931","Y1_180420_6",151.039289,2959.872314
"11971","Y1_180420_3",151.039289,2458.598633
"1280","Y1_180420_5",151.039289,2983.721191
"1295","Y1_180622_10",151.039289,2331.381592
"1250","Y1_180622_9",151.039289,2494.308838
"1467","Y1_180622_8",151.039289,1986.72522
"1480","Y1_180622_6",151.039289,2088.52417
"1266","Y1_180622_7",151.039289,2375.61499
"1475","Y1_180622_5",151.039289,2167.265625
"1581","Y1_180622_4",151.039289,2315.973389
"1366","Y1_180622_2",151.039289,2504.693115
"1112","Y1_180622_3",151.039289,2562.824951
"1361","Y1_180622_1",151.039289,2763.670654
"12811","Y2_180420_10",151.039289,3263.567383
"1449","Y2_180420_5",151.039289,4350.102539
"1450","Y2_180420_4",151.039289,2655.357178
"1108","Y2_180420_3",151.039289,3022.840332
"1243","Y2_180420_2",151.039289,2597.464111
"1029","Y2_180420_1",151.039289,2288.173584
"12931","Y2_180420_9",151.039289,2208.922852
"1142","Y2_180420_8",151.039289,2109.294922
"13381","Y2_180420_7",151.039289,2377.791504
"1267","Y2_180420_6",151.039289,3114.104736
"13111","Y2_180622_10",151.039289,2555.920654
"13112","Y2_180622_9",151.039289,2143.489014
"1425","Y2_180622_8",151.039289,3143.135742
"1404","Y2_180622_7",151.039289,2726.757568
"1558","Y2_180622_6",151.039289,2282.216064
"1291","Y2_180622_5",151.038939,2388.167969
"1270","Y2_180622_4",151.038939,2040.300171
"12801","Y2_180622_3",151.038939,1834.520142
"1241","Y2_180622_2",151.039289,2207.612549
"12671","Y2_180622_1",151.038939,2780.168701
"1313","Y4_180627_10",151.039289,1906.425293
"1103","Y4_180627_8",151.039289,1763.919067
"1145","Y4_180627_9",151.039289,1548.289917
"1166","Y4_180627_7",151.039289,2627.633057
"1240","Y4_180627_6",151.039289,1930.917847
"1130","Y4_180627_5",151.039289,1764.087036
"1222","Y4_180627_1",151.039289,1207.511108
"1408","Y4_180627_2",151.039289,1781.276123
"1057","Y4_180627_4",151.039289,1864.634399
"11301","Y4_180627_3",151.039289,1589.321411
"1187","Y5_180627_1",151.039289,3664.99707
"1249","Y5_180627_2",151.039289,3075.812012
"1242","Y5_180627_4",151.039289,3263.739746
"1561","Y5_180627_3",151.039289,2715.627686
"1201","Y5_180627_5",151.039289,3275.946289
"1239","Y5_180627_8",151.039289,2174.116943
"13661","Y5_180627_6",151.039289,2664.87085
"12981","Y5_180627_9",151.039289,3183.188965
"1389","Y5_180627_7",151.039289,2939.160156
"1135","Y5_180627_10",151.039289,3494.472168
"1390","Y6_180627_3",151.039289,3229.684082
"1122","Y6_180627_10",151.039289,2529.542725
"11302","Y6_180627_9",151.039289,1595.145508
"944","Y6_180627_8",151.039289,2320.759033
"1356","Y6_180627_2",151.039289,2262.617188
"1127","Y6_180627_7",151.039289,1459.891357
"1462","Y6_180627_6",151.039289,2161.103516
"1452","Y6_180627_5",151.039289,2292.52002
"14441","Y6_180627_1",151.039289,2845.000732
"13851","Y6_180627_4",151.039289,2617.883057
"1196","O5_180627_1",151.039289,3114.644043
"1263","O5_180627_10",151.039289,3099.361572
"1259","O5_180627_2",151.039289,2770.13623
"1435","O5_180627_3",151.038939,3441.160645
"1391","O5_180627_4",151.039289,3336.269775
"1344","O5_180627_5",151.039289,3661.299805
"1444","O5_180627_6",151.039289,3523.536865
"1596","O5_180627_7",151.039289,3437.131592
"1171","O5_180627_8",151.039289,3083.721924
"1417","O5_180627_9",151.039289,2298.736572
"1306","O6_180627_1",151.039289,2638.781006
"1218","O6_180627_10",151.039289,2096.588623
"1278","O6_180627_2",151.039289,2228.978271
"1326","O6_180627_3",151.039289,2116.92749
"1169","O6_180627_4",151.039289,1854.103149
"1211","O6_180627_5",151.039289,2487.994141
"1254","O6_180627_6",151.039289,1975.184448
"1125","O6_180627_7",151.039289,2270.942383
"1188","O6_180627_8",151.039289,2432.226807
"12781","O6_180627_9",151.039289,3178.29541
