Mixture Component,Molecular Weight,Conc. (ug/mL),Conc. (uM),Conc_in_sample
15_0-18_1(d7)_PC,753.11,100,132.7827276,0.663913638
18_1(d7)_Lyso_PC,528.72,100,189.1360266,0.945680133
15_0-18_1(d7)_PE,711.03,100,140.6410419,0.70320521
18_1(d7)_Lyso_PE,486.64,100,205.4907118,1.027453559
15_0-18_1(d7)_PG,764.02,100,130.886626,0.65443313
15_0-18_1(d7)_PI,847.13,100,118.0456364,0.590228182
15_0-18_1(d7)_PS,777.02,100,128.696816,0.64348408
15_0-18_1(d7)-15_0_TAG,812.37,100,123.0966185,0.615483093
15_0-18_1(d7)_DAG,587.98,100,170.073812,0.85036906
18_1(d7)_MAG,363.59,100,275.035067,1.375175335
18_1(d7)_Chol_Ester,658.16,100,151.9387383,0.759693692
d18_1-18_1(d9)_SM,738.12,100,135.4793259,0.67739663
d18_1-15_0(d7)_Cer,530.92,100,188.3522941,0.941761471