Sample Name,Random Num,Sample_extraction_number,Sample_ID,,
Y2_meth,0.678052925,43,XZ_43,,
Y4_YlpdP7,0.666016902,44,XZ_44,,
Y5_YlpdP5,0.678809538,45,XZ_45,,
O4_EGFP,0.496589493,46,XZ_46,,
O2_meth,0.520796015,47,XZ_47,,
Y2_EGFP,0.882584627,48,XZ_48,,
Y4_YlpdP5,0.966022563,49,XZ_49,,
Y2_YlpdP5,0.561207255,50,XZ_50,,
Y3_FLG_Mb2_OE,0.996865541,51,XZ_51,,
O2_YlpdP5,0.504309749,52,XZ_52,,
O4_meth,0.443988187,53,XZ_53,,
O5_meth,0.330373972,54,XZ_54,,
O5_YlpdP5,0.489350592,55,XZ_55,,
O5_FLG_Mb2_OE,0.588225583,56,XZ_56,,
O4_YlpdP7,0.917216822,57,XZ_57,,
O2_FLG_Mb2_OE,0.666194577,58,XZ_58,,
O3_YlpdP7,0.27825144,59,XZ_59,,
Y5_meth,0.70599374,60,XZ_60,,
Y4_EGFP,0.505657034,61,XZ_61,,
Y3_YlpdP5,0.922606915,62,XZ_62,,
Y3_meth,0.415400399,63,XZ_63,,
Y5_FLG_Mb2_OE,0.22294239,64,XZ_64,,
O2_EGFP,0.299398585,65,XZ_65,,
O3_YlpdP5,0.698397621,66,XZ_66,,
Y4_FLG_Mb2_OE,0.301905635,67,XZ_67,,
O3_EGFP,0.149508649,68,XZ_68,,
O5_YlpdP7,0.579355918,69,XZ_69,,
Y2_YlpdP7,0.542974959,70,XZ_70,,
Y2_FLG_Mb2_OE,0.071119448,71,XZ_71,,
Y3_EGFP,0.320151301,72,XZ_72,,
O3_meth,0.734732521,73,XZ_73,,
O5_EGFP,0.977200836,74,XZ_74,,
Y4_meth,0.947300713,75,XZ_75,,
O3_FLG_Mb2_OE,0.713457664,76,XZ_76,,
O2_YlpdP7,0.030162248,77,XZ_77,,
Y3_YlpdP7,0.878293967,78,XZ_78,,
Y5_YlpdP7,0.867996208,79,XZ_79,,
O4_FLG_Mb2_OE,0.357959893,80,XZ_80,,
O4_YlpdP5,0.096605996,81,XZ_81,,
Y5_EGFP,0.905015992,82,XZ_82,,